###############################################################
#dispersion data
# Telescope: WALTZER
# Units: pixels, and fraction
# Pixel scale: 1.125"/pix
# Generated on: 2026-03-03
###############################################################################
pixels	0_Y	0_X	115_Y	115_X	230_Y	230_X	324_Y	324_X
-20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-19.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-18.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-17.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
-4.0000	0.0021	0.0021	0.0272	0.0272	0.0000	0.0000	0.0000	0.0000
-3.0000	0.0551	0.0551	0.0521	0.0521	0.0545	0.0545	0.0580	0.0580
-2.0000	0.0718	0.0718	0.0667	0.0667	0.0759	0.0759	0.0737	0.0737
-1.0000	0.0818	0.0818	0.0756	0.0756	0.0795	0.0795	0.0766	0.0766
0.0000	0.0784	0.0784	0.0710	0.0710	0.0678	0.0678	0.0653	0.0653
1.0000	0.0818	0.0818	0.0802	0.0802	0.0705	0.0705	0.0673	0.0673
2.0000	0.0718	0.0718	0.0735	0.0735	0.0611	0.0611	0.0587	0.0587
3.0000	0.0551	0.0551	0.0545	0.0545	0.0491	0.0491	0.0488	0.0488
4.0000	0.0021	0.0021	0.0000	0.0000	0.0328	0.0328	0.0361	0.0361
5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0161	0.0161
6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
