# wavelength [Å]    delta
2397    0.10
2450    0.10
2500    0.00
2550    0.00
2600    0.20
2650    0.20
2700    1.00
2750    1.00
2800    0.15
2850    0.15
2900    0.50
2950    0.50
3000    0.05
3050    0.05
3100    0.00
3150    0.00
3200    1.00
3252    1.00
3350    0.80
3450    0.80
3550    0.10
3650    0.10
3750    0.00
3850    0.00
3950    1.00
4050    1.00
4150    0.30
4250    0.30
4350    0.60
4450    0.60
4500    0.20
4600    0.20
4700    0.00
4800    0.00
4900    1.00
5000    1.00
5100    0.40
5200    0.40
5300    0.10
5400    0.10
5500    0.70
5600    0.70
5700    0.00
5800    0.00
5900    1.00
6000    1.00
6100    0.25
6200    0.25
6300    0.50
6400    0.50
6500    0.05
6600    0.05
6700    0.90
6800    0.90
6900    0.00
7000    0.00
7100    1.00
7200    1.00
7300    0.15
7400    0.15
7500    0.35
7600    0.35
7700    0.00
7800    0.00
7900    0.80
8000    0.80
8100    0.10
8200    0.10
