# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2019.3.22
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208NAN9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia DR2 G/Bp/Rp, Sloan izY, 2MASS JHKs,
# and WISE W1/W2/W3/W4 photometry. G-V color is Gaia DR2 G - Johnson V.
#
#SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V   R_Rsun Msun  
O3V    46000 4.663  5.80 -9.75 -4.05  -5.7  -0.32  12.5   NAN  
O4V    43000 4.633  5.67 -9.42 -3.92  -5.5  -0.32  12.3   NAN  
O5V    41500 4.618  5.58 -9.20 -3.77  -5.4  -0.32  11.9   NAN  
O5.5V  40000 4.602  5.46 -8.90 -3.65  -5.2  -0.32  11.2   NAN  
O6V    39000 4.591  5.37 -8.67 -3.57  -5.1  -0.32  10.6   NAN  
O6.5V  37300 4.573  5.24 -8.35 -3.45  -4.9  -0.32  10.0   NAN  
O7V    36500 4.562  5.17 -8.18 -3.38  -4.8  -0.32  9.62   28    
O7.5V  35000 4.544  5.05 -7.87 -3.27  -4.6  -0.32  9.11   24    
O8V    34500 4.538  4.99 -7.72 -3.22  -4.5  -0.32  8.75   22.9  
O8.5V  33000 4.519  4.87 -7.43 -3.13  -4.3  -0.32  8.33   20.5  
O9V    32500 4.512  4.82 -7.29 -3.09  -4.2  -0.318 8.11   19.7  
O9.5V  32000 4.505  4.76 -7.15 -3.06  -4.1  -0.312 7.80   18.5  
B0V    31500 4.498  4.70 -7.02 -3.02  -4.0  -0.307 7.53   17.5  
B0.5V  29000 4.462  4.47 -6.43 -2.87  -3.6  -0.295 6.81   15    
B1V    26000 4.415  4.13 -5.68 -2.61  -3.1  -0.278 5.72   11    
B1.5V  24500 4.389  3.89 -5.24 -2.43  -2.8  -0.252 4.89   10    
B2V    20600 4.314  3.38 -3.71 -2.06  -1.7  -0.210 3.85   7.3   
B2.5V  18500 4.267  3.10 -3.15 -1.79  -1.4  -0.198 3.45   6.1   
B3V    17000 4.230  2.96 -2.64 -1.58  -1.1  -0.178 3.48   5.4   
B4V    16700 4.223  2.91 -2.52 -1.53  -1.0  -0.165 3.41   5.0   
B5V    15700 4.196  2.80 -2.25 -1.35  -0.9  -0.156 3.40   4.6   
B6V    14500 4.161  2.54 -1.66 -1.16  -0.5  -0.140 2.95   4.0   
B7V    14000 4.146  2.49 -1.47 -1.07  -0.4  -0.128 2.99   3.9   
B8V    12500 4.097  2.27 -0.91 -0.81  -0.2  -0.109 2.91   3.4   
B9V    10700 4.029  1.79  0.28 -0.42   0.7  -0.070 2.28   2.8   
B9.5V  10400 4.017  1.73  0.44 -0.38   0.8  -0.050 2.26   2.5   
A0V    9700  3.987  1.54  0.87 -0.24   1.11  0.000 2.09   2.3   
A1V    9200  3.965  1.41  1.19 -0.15   1.34  0.040 2.00   2.15  
A2V    8840  3.946  1.33  1.38 -0.10   1.48  0.070 1.97   2.05  
A3V    8550  3.932  1.29  1.49 -0.06   1.55  0.090 2.01   2.00  
A4V    8270  3.917  1.20  1.72 -0.04   1.76  0.140 1.94   1.90  
A5V    8080  3.907  1.16  1.81 -0.03   1.84  0.160 1.94   1.85  
A6V    8000  3.903  1.14  1.87 -0.02   1.89  0.170 1.93   1.83  
A7V    7800  3.892  1.06  2.07  0.00   2.07  0.210 1.86   1.76  
A8V    7500  3.874  0.97  2.29  0.00   2.29  0.250 1.81   1.67  
A9V    7440  3.872  0.97  2.30  0.00   2.30  0.255 1.84   1.67  
F0V    7220  3.857  0.89  2.50 -0.01   2.51  0.290 1.79   1.59  
F1V    7030  3.847  0.77  2.78 -0.01   2.79  0.330 1.64   1.50  
F2V    6810  3.833  0.70  2.97 -0.02   2.99  0.370 1.61   1.44  
F3V    6720  3.827  0.67  3.05 -0.03   3.08  0.390 1.60   1.43  
F4V    6640  3.822  0.61  3.19 -0.04   3.23  0.410 1.53   1.39  
F5V    6510  3.814  0.54  3.36 -0.04   3.40  0.440 1.46   1.33  
F6V    6340  3.802  0.43  3.65 -0.05   3.70  0.484 1.36   1.25  
F7V    6240  3.795  0.36  3.81 -0.06   3.87  0.510 1.30   1.21  
F8V    6170  3.790  0.31  3.96 -0.07   4.01  0.530 1.25   1.18  
F9V    6060  3.782  0.26  4.07 -0.08   4.15  0.552 1.23   1.14  
F9.5V  6000  3.778  0.21  4.22 -0.08   4.29  0.572 1.18   1.11  
G0V    5920  3.772  0.14  4.40 -0.09   4.45  0.596 1.12   1.08  
G1V    5880  3.769  0.13  4.40 -0.10   4.50  0.625 1.12   1.07  
G2V    5770  3.761  0.01  4.68 -0.11   4.79  0.650 1.01   1.02  
G3V    5720  3.757 -0.01  4.74 -0.12   4.86  0.660 1.01   1.00  
G4V    5680  3.754 -0.04  4.80 -0.13   4.94  0.670 0.986  0.99  
G5V    5660  3.753 -0.05  4.84 -0.13   4.98  0.680 0.982  0.98  
G6V    5590  3.747 -0.11  4.98 -0.15   5.13  0.700 0.939  0.97  
G7V    5530  3.743 -0.12  5.02 -0.16   5.18  0.710 0.949  0.96  
G8V    5490  3.734 -0.17  5.15 -0.17   5.32  0.730 0.909  0.94  
G9V    5340  3.728 -0.25  5.34 -0.21   5.55  0.775 0.876  0.90  
K0V    5280  3.723 -0.33  5.54 -0.22   5.76  0.816 0.817  0.87  
K0.5V  5240  3.719 -0.33  5.57 -0.23   5.80  0.825 0.828  0.86  
K1V    5170  3.713 -0.36  5.65 -0.26   5.89  0.842 0.814  0.85  
K1.5V  5140  3.711 -0.39  5.70 -0.27   5.97  0.860 0.809  0.82  
