###############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        FilterEff , CCD_QE , EffectiveArea_cm2
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: FAKE NIR effective area mapped from VIS shape, resampled to 640 rows
# Generated on: 2026-03-03
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	FilterEff	CCD_QE	EffectiveArea_cm2
8250.0000	0.8996	0.8000	0.7893	0.7589	147.1204
8265.2582	0.8999	0.8015	0.7899	0.7598	147.8678
8280.5164	0.9003	0.8029	0.7906	0.7609	148.7262
8295.7746	0.9007	0.8044	0.7913	0.7620	149.5868
8311.0329	0.9010	0.8059	0.7920	0.7631	150.4453
8326.2911	0.9014	0.8073	0.7928	0.7641	151.3102
8341.5493	0.9017	0.8088	0.7935	0.7652	152.1729
8356.8075	0.9021	0.8103	0.7942	0.7663	153.0387
8372.0657	0.9025	0.8117	0.7949	0.7674	153.9090
8387.3239	0.9028	0.8131	0.7956	0.7685	154.7780
8402.5822	0.9032	0.8145	0.7963	0.7695	155.6156
8417.8404	0.9035	0.8159	0.7970	0.7706	156.4484
8433.0986	0.9039	0.8173	0.7977	0.7716	157.2526
8448.3568	0.9042	0.8187	0.7984	0.7726	158.0537
8463.6150	0.9045	0.8201	0.7990	0.7736	158.8537
8478.8732	0.9049	0.8214	0.7997	0.7746	159.6543
8494.1315	0.9052	0.8227	0.8004	0.7756	160.4566
8509.3897	0.9055	0.8240	0.8011	0.7766	161.2606
8524.6479	0.9059	0.8253	0.8017	0.7776	162.0663
8539.9061	0.9062	0.8266	0.8024	0.7786	162.8688
8555.1643	0.9065	0.8278	0.8031	0.7796	163.6776
8570.4225	0.9069	0.8290	0.8037	0.7806	164.4833
8585.6808	0.9072	0.8302	0.8044	0.7816	165.2904
8600.9390	0.9075	0.8314	0.8051	0.7826	166.0991
8616.1972	0.9079	0.8325	0.8058	0.7836	166.9090
8631.4554	0.9082	0.8336	0.8064	0.7846	167.7161
8646.7136	0.9086	0.8347	0.8071	0.7857	168.5255
8661.9718	0.9089	0.8357	0.8078	0.7867	169.3988
8677.2300	0.9093	0.8368	0.8086	0.7879	170.3001
8692.4883	0.9097	0.8377	0.8093	0.7890	171.2008
8707.7465	0.9100	0.8387	0.8101	0.7901	172.1028
8723.0047	0.9104	0.8396	0.8108	0.7913	173.0077
8738.2629	0.9108	0.8405	0.8116	0.7924	173.9113
8753.5211	0.9112	0.8413	0.8123	0.7935	174.8164
8768.7793	0.9116	0.8422	0.8131	0.7947	175.7231
8784.0376	0.9119	0.8429	0.8139	0.7958	176.6314
8799.2958	0.9124	0.8437	0.8148	0.7972	177.7791
8814.5540	0.9129	0.8444	0.8158	0.7987	178.9815
8829.8122	0.9133	0.8450	0.8165	0.7998	179.8471
8845.0704	0.9130	0.8456	0.8160	0.7990	179.1659
8860.3286	0.9127	0.8462	0.8154	0.7981	178.4736
8875.5869	0.9124	0.8468	0.8148	0.7972	177.7703
8890.8451	0.9119	0.8473	0.8137	0.7956	176.4508
8906.1033	0.9111	0.8477	0.8122	0.7932	174.5989
8921.3615	0.9110	0.8482	0.8119	0.7929	174.3027
8936.6197	0.9110	0.8485	0.8119	0.7929	174.3360
8951.8779	0.9110	0.8489	0.8120	0.7930	174.3688
8967.1362	0.9110	0.8492	0.8120	0.7930	174.4012
8982.3944	0.9110	0.8494	0.8120	0.7930	174.4331
8997.6526	0.9111	0.8496	0.8122	0.7932	174.5903
9012.9108	0.9112	0.8498	0.8124	0.7935	174.8310
9028.1690	0.9113	0.8499	0.8126	0.7938	175.0718
9043.4272	0.9113	0.8500	0.8127	0.7940	175.2396
9058.6854	0.9114	0.8500	0.8128	0.7942	175.3774
9073.9437	0.9115	0.8500	0.8129	0.7944	175.5153
9089.2019	0.9118	0.8499	0.8135	0.7953	176.2059
9104.4601	0.9122	0.8498	0.8144	0.7966	177.2431
9119.7183	0.9125	0.8497	0.8151	0.7976	178.0945
