###############################################################
#Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , Throughput, EffectiveArea [cm2]
# Pixel scale: 0.417684
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on CUTE
# CCD QE based on datasheet and CUTE
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1
                *R_uvgr * Uv_geff *R_fold2 * Uv_detQE
# Generated on: 2026-02-19
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	GratingEff	CCD_QE	Throughput	EffectiveArea_cm2
2397.0000	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2397.4177	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2397.8354	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2398.2531	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2398.6707	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2399.0884	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2399.5061	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2399.9238	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2400.3415	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2400.7592	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2401.1768	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2401.5945	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2402.0122	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2402.4299	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2402.8476	0.9258	0.8000	0.6400	0.6050	0.1791	172.2698
2403.2653	0.9258	0.8000	0.6400	0.6050	0.1791	172.2711
2403.6830	0.9258	0.8000	0.6400	0.6050	0.1791	172.2730
2404.1006	0.9258	0.8000	0.6400	0.6050	0.1791	172.2749
2404.5183	0.9258	0.8000	0.6400	0.6050	0.1791	172.2769
2404.9360	0.9258	0.8000	0.6400	0.6050	0.1791	172.2788
2405.3537	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2405.7714	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2406.1891	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2406.6067	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2407.0244	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2407.4421	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2407.8598	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2408.2775	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2408.6952	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2409.1128	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2409.5305	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2409.9482	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2410.3659	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2410.7836	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2411.2013	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2411.6190	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
2412.0366	0.9258	0.8000	0.6400	0.6050	0.1791	172.2791
