##############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , EffectiveArea 
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on datasheets
# CCD QE based on datasheets
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1 
                *R_d2 * R_visgr * vis_geff * vis_detQE
# Generated on: 2026-02-19
##############################################################################
Wavelength	Reflectivity	Dichroic1_Eff	Dichroic2_Eff	GratingEff	CCD_QE	EffectiveArea_cm2
4500.0000	0.9285	0.8000	0.8000	0.4874	0.8397	171.4789
4500.9035	0.9285	0.8000	0.8000	0.4874	0.8400	171.5239
4501.8071	0.9285	0.8000	0.8000	0.4878	0.8402	171.6896
4502.7106	0.9285	0.8000	0.8000	0.4881	0.8404	171.8677
4503.6142	0.9285	0.8000	0.8000	0.4885	0.8406	172.0459
4504.5177	0.9285	0.8000	0.8000	0.4889	0.8408	172.2241
4505.4212	0.9285	0.8000	0.8000	0.4893	0.8411	172.4025
4506.3248	0.9285	0.8000	0.8000	0.4897	0.8413	172.5809
4507.2283	0.9285	0.8000	0.8000	0.4900	0.8415	172.7593
4508.1319	0.9285	0.8000	0.8000	0.4904	0.8417	172.9379
4509.0354	0.9285	0.8000	0.8000	0.4908	0.8419	173.1165
4509.9389	0.9285	0.8000	0.8000	0.4912	0.8422	173.2951
4510.8425	0.9285	0.8000	0.8000	0.4915	0.8424	173.4739
4511.7460	0.9285	0.8000	0.8000	0.4919	0.8426	173.6527
4512.6496	0.9285	0.8000	0.8000	0.4923	0.8428	173.8316
4513.5531	0.9285	0.8000	0.8000	0.4927	0.8430	174.0105
4514.4567	0.9285	0.8000	0.8000	0.4931	0.8433	174.1896
4515.3602	0.9285	0.8000	0.8000	0.4934	0.8435	174.3687
4516.2637	0.9285	0.8000	0.8000	0.4938	0.8437	174.5478
4517.1673	0.9285	0.8000	0.8000	0.4942	0.8439	174.7271
4518.0708	0.9285	0.8000	0.8000	0.4946	0.8441	174.9064
4518.9744	0.9285	0.8000	0.8000	0.4950	0.8444	175.0857
4519.8779	0.9285	0.8000	0.8000	0.4953	0.8446	175.2627
4520.7814	0.9285	0.8000	0.8000	0.4957	0.8448	175.4396
4521.6850	0.9285	0.8000	0.8000	0.4961	0.8450	175.6186
4522.5885	0.9285	0.8000	0.8000	0.4965	0.8452	175.7982
4523.4921	0.9285	0.8000	0.8000	0.4968	0.8455	175.9780
