TIC,RAJ2000,DEJ2000,GAIA,Bmag,Vmag,Teff,logg,[M/H],Rad,Mass,LClass,Dist
150407396,272.76931407987,12.25221663242,4496852031892630144,15.136,14.351,5795.0,4.0633,,1.57,1.04,"DWARF",1160.95
166134022,273.12428177439,12.34993433117,4496856223780519168,16.33,14.95,5801.0,4.223,,1.306,1.04,"DWARF",1225.46
150492088,273.01945434509,12.3529784959,4496856807896153728,15.082,14.357,5715.0,4.4158,,1.036,1.02,"DWARF",729.555
150490725,272.93563421508,12.37396787921,4496859247437666304,15.537,14.966,5838.0,4.3369,,1.151,1.05,"DWARF",1079.67
150492144,272.96565273601,12.38068199123,4496860003351890432,15.564,14.818,5750.0,4.5157,,0.928,1.03,"DWARF",833.219
150490682,272.93418225079,12.40083127832,4496861034144089472,15.614,14.934,5832.0,4.1007,,1.511,1.05,"DWARF",1406.12
150492264,272.98958113436,12.44925308362,4496861686979119616,15.057,14.29,5749.0,4.2821,,1.215,1.03,"DWARF",856.686
150345407,272.57469621629,12.24004852564,4496863198807967616,15.517,14.939,5853.0,4.3436,,1.148,1.06,"DWARF",1097.3
150406345,272.6993118006,12.29898306764,4496864401398556416,15.076,14.214,5844.0,4.4427,,1.019,1.05,"DWARF",743.915
150407496,272.73890571598,12.30812622634,4496864470118006528,15.169,14.437,5840.0,4.0495,,1.603,1.05,"DWARF",1175.56
150407554,272.77045385261,12.34116419534,4496864985514087168,15.806,14.958,5817.0,3.8537,,2.008,1.05,"DWARF",1926.61
150407610,272.71325895013,12.36994900992,4496865981946579840,15.152,14.417,5795.0,4.0,,1.689,1.04,"DWARF",1216.67
150406183,272.59687596416,12.38164256654,4496869520999738368,15.064,14.353,5831.0,4.4284,,1.036,1.05,"DWARF",705.665
150406084,272.65076330502,12.4334557784,4496870208194510080,15.409,14.631,5805.0,4.4251,,1.035,1.04,"DWARF",819.847
150490592,272.91095512917,12.45336907504,4496873025692856320,14.917,14.157,5738.0,4.459,,0.991,1.03,"DWARF",653.342
150490598,272.89707440885,12.45076992925,4496873231851297536,15.547,14.758,5810.0,4.3237,,1.163,1.04,"DWARF",1022.57
150407756,272.73793316975,12.45555937648,4496875259076000896,15.163,14.99,5886.0,3.989,,1.735,1.07,"DWARF",1708.03
150407845,272.80822648344,12.50155961856,4496877286300548864,15.657,14.838,5700.0,4.1178,,1.46,1.02,"DWARF",1196.91
150490318,272.82900038223,12.60607781013,4496879107366767488,15.45,14.67,5720.0,4.5299,,0.909,1.02,"DWARF",701.015
1681395393,273.12589198379,12.36871257995,4496879760202018432,,14.797,5812.0,4.3662,,1.113,1.05,"DWARF",993.858
166133846,273.11101382988,12.42479890675,4496880997152630016,15.692,14.483,5765.0,3.9213,,1.84,1.03,"DWARF",1378.28
166133862,273.16855132076,12.41993583731,4496881065872082560,15.327,14.523,5814.0,4.133,,1.456,1.05,"DWARF",1095.81
166133835,273.17526199092,12.43128294912,4496881100231822464,15.541,14.847,5898.0,4.3753,,1.112,1.07,"DWARF",973.602
150492358,273.05187606103,12.50267466575,4496885360839477632,13.817,13.029,5753.0,3.8885,,1.911,1.03,"DWARF",753.197
166136062,273.20209250073,12.52584951732,4496886181171260288,15.708,14.922,5714.0,3.8236,,2.049,1.02,"DWARF",1804.78
166133572,273.12515310103,12.53844983857,4496887147546129920,15.051,14.368,5892.0,4.448,,1.023,1.07,"DWARF",748.642
166270735,273.32846490942,12.50420464914,4496888281417421312,15.231,14.448,5851.0,4.1639,,1.412,1.06,"DWARF",1038.44
166270615,273.3311423949,12.54835283913,4496888728094031616,14.876,14.032,5775.0,3.9232,,1.836,1.03,"DWARF",1086.74
166270436,273.33819655563,12.63209276932,4496890377361499392,15.971,14.934,5860.0,3.905,,1.902,1.06,"DWARF",1704.51
166270398,273.3671820001,12.6510643548,4496891992269200896,15.143,14.403,5774.0,4.0168,,1.648,1.03,"DWARF",1117.1
166273560,273.46591906251,12.67272865404,4496892232787565952,14.538,13.896,5845.0,4.0016,,1.694,1.05,"DWARF",954.97
166270368,273.40215367964,12.66272270607,4496892335866786816,13.778,13.049,5881.0,4.3058,,1.205,1.07,"DWARF",486.282
166136211,273.29031757336,12.59664135025,4496892778241132800,14.558,13.84,5725.0,4.3918,,1.065,1.02,"DWARF",565.013
166136224,273.20127179957,12.60527030432,4496893710256159488,15.446,14.629,5822.0,4.1089,,1.497,1.05,"DWARF",1147.25
166136275,273.20073376815,12.62892626151,4496893813335384832,15.275,14.611,5848.0,4.2612,,1.262,1.06,"DWARF",964.741
166136394,273.25481786654,12.67036584439,4496894363091196800,15.198,14.489,5874.0,4.4769,,0.985,1.06,"DWARF",749.927
166136587,273.31879325496,12.7522708817,4496896836992525824,,14.935,5708.0,4.0373,,1.602,1.02,"DWARF",1407.34
150492403,272.9809758891,12.5246582882,4496897318028485888,15.532,14.716,5724.0,4.4127,,1.04,1.02,"DWARF",829.461
150492467,273.02837083578,12.56767146443,4496897970863516160,14.86,14.244,5832.0,4.4224,,1.043,1.05,"DWARF",695.901
150490343,272.93733968725,12.58444507001,4496898623698592128,14.918,14.11,5786.0,3.88,,1.939,1.04,"DWARF",1206.6
150492610,273.04840866413,12.64110505875,4496900547843921920,14.647,13.998,5785.0,4.4961,,0.954,1.04,"DWARF",583.999
150492581,273.00025258452,12.62582527449,4496900582203672320,15.398,14.712,5734.0,4.4741,,0.969,1.02,"DWARF",763.249
150492702,273.06975501115,12.6867038495,4496901269398440448,15.566,14.859,5704.0,4.2259,,1.289,1.02,"DWARF",1060.1
150490245,272.93683531928,12.64785306243,4496902364609156992,13.874,13.065,5745.0,3.4798,,3.059,1.03,"DWARF",1158.94
166132865,273.16348547991,12.84973889456,4496912917350019968,15.496,14.828,5719.0,4.1253,,1.448,1.02,"DWARF",1141.97
166136810,273.23077993503,12.86038453996,4496913089148786304,14.009,13.309,5879.0,3.7353,,2.323,1.07,"DWARF",1066.11
166132703,273.18641627553,12.91589720947,4496914291739634304,15.008,14.298,5827.0,3.8467,,2.024,1.05,"DWARF",1334.99
150345605,272.46611276739,12.34312170173,4496914600977850880,15.387,14.803,5884.0,3.8404,,2.058,1.07,"DWARF",1691.3
150345789,272.49376054875,12.43829372326,4496916422043601920,15.583,14.755,5738.0,3.9754,,1.729,1.03,"DWARF",1397.07
150313332,272.43734769998,12.44891828028,4496916628202089856,13.746,13.035,5738.0,4.5435,,0.897,1.025,"DWARF",342.731
150345985,272.55751818431,12.54788885768,4496918964664294144,15.445,14.723,5712.0,4.2814,,1.21,1.02,"DWARF",975.83
150313254,272.42655828597,12.4899803768,4496919754938328064,14.596,13.737,5810.0,3.7068,,2.367,1.04,"DWARF",1265.36
150346000,272.57715205724,12.55440263914,4496924805819805824,14.483,13.789,5830.0,4.2499,,1.273,1.05,"DWARF",708.061
150407997,272.71072020745,12.58780052882,4496925870971619840,15.415,14.641,5712.0,3.64,,2.531,1.02,"DWARF",1864.77
150407989,272.70594420588,12.58401389105,4496925870971620096,14.707,13.953,5891.0,4.1436,,1.452,1.07,"DWARF",866.775
150408130,272.76617716619,12.66189955689,4496926661245625856,14.306,13.841,5884.0,4.2905,,1.226,1.07,"DWARF",735.851
150408208,272.73491020985,12.70189182478,4496927692037841536,15.62,14.945,5837.0,4.5002,,0.954,1.05,"DWARF",813.975
150346087,272.57655671356,12.59708816968,4496927966915779328,15.444,14.722,5833.0,4.299,,1.203,1.05,"DWARF",1003.17
150346147,272.5489790099,12.63131742209,4496928310513214080,14.04,13.313,5852.4,,0.14,1.285,,"DWARF",650.283
150259222,272.2654098581,12.50009072034,4496932261883400576,15.774,14.994,5880.0,4.4493,,1.021,1.07,"DWARF",1013.78
150259332,272.22087070897,12.56777547191,4496933670632681856,15.196,14.556,5833.0,3.9505,,1.796,1.05,"DWARF",1391.88
150259380,272.32337061317,12.60130331388,4496934014229899136,15.541,14.65,5758.0,4.4398,,1.013,1.03,"DWARF",812.722
150312794,272.37176323762,12.74766881715,4496945490382566784,15.608,14.814,5787.0,4.2137,,1.32,1.04,"DWARF",1147.85
150312700,272.4151208418,12.80736525814,4496946418095517824,14.385,13.666,5885.0,4.4739,,0.991,1.067,"DWARF",542.918
150312702,272.38265106684,12.80521237235,4496947070930560768,14.002,13.243,5834.0,4.103,,1.507,1.05,"DWARF",645.822
150312657,272.40322284082,12.83818382199,4496947277088997504,15.225,14.521,5750.0,3.8641,,1.965,1.03,"DWARF",1427.04
150346539,272.45790178078,12.86109948978,4496948101722707840,15.43,14.7,5782.0,3.8463,,2.016,1.04,"DWARF",1625.91
150346604,272.50735270086,12.89790861519,4496948651478517760,15.743,14.874,5708.0,4.0755,,1.533,1.02,"DWARF",1285.1
150312585,272.41571861639,12.88175680826,4496949098155171200,15.724,14.986,5794.0,4.2027,,1.337,1.04,"DWARF",1248.92
150312570,272.40925239833,12.89027168617,4496949166874628864,15.201,14.49,5837.0,4.4578,,1.002,1.05,"DWARF",767.554
150489849,272.88514315389,12.87488588054,4496957172693959552,14.777,14.003,5828.0,4.3412,,1.146,1.05,"DWARF",683.228
150489881,272.84326882971,12.85673840732,4496957207053992960,15.633,14.912,5784.0,4.0749,,1.549,1.04,"DWARF",1326.77
150408461,272.76795898303,12.84860730741,4496957585010857472,15.523,14.683,5830.0,4.0013,,1.694,1.05,"DWARF",1317.21
150492917,273.01286591495,12.81677899864,4496958718882402432,15.711,14.881,5773.0,4.4647,,0.984,1.03,"DWARF",859.655
150492982,272.9779152017,12.85537160358,4496959096839552256,15.561,14.75,5805.0,4.0528,,1.589,1.04,"DWARF",1322.35
150493006,273.0253035433,12.86564734909,4496959440436921984,15.09,14.334,5812.0,4.5909,,0.859,1.05,"DWARF",616.866
166132668,273.09584638735,12.93419816448,4496961605100442880,,14.313,5707.0,4.2297,,1.284,1.02,"DWARF",819.799
166132588,273.11956052565,12.97447594813,4496961845618790016,13.773,13.076,5851.0,3.3713,,3.516,1.06,"DWARF",1385.06
166132560,273.09199911435,12.98456045435,4496962635892621184,14.54,13.818,5887.0,4.072,,1.577,1.07,"DWARF",917.492
150493194,273.0654902322,12.97359164123,4496962738971840512,14.645,13.858,5869.0,3.9659,,1.773,1.06,"DWARF",1010.03
150489730,272.87498154989,12.94207218763,4496964285159840896,15.591,14.813,5782.0,3.9397,,1.81,1.04,"DWARF",1557.82
150489588,272.91528430484,13.02834374206,4496966655982083712,15.374,14.611,5878.0,4.4747,,0.987,1.06,"DWARF",799.916
150405430,272.63445549739,12.79631315876,4496967377536324992,14.643,13.864,5848.0,3.6568,,2.531,1.06,"DWARF",1399.29
150346580,272.55203401233,12.88612582323,4496971809942649088,14.949,14.205,5866.0,3.853,,2.019,1.06,"DWARF",1377.11
150346591,272.5721986116,12.89219985376,4496971913021857664,15.628,14.841,5802.0,4.5867,,0.859,1.04,"DWARF",782.381
150405140,272.59602390643,12.9684313025,4496972840734823168,14.894,14.088,5798.0,3.8878,,1.922,1.04,"DWARF",1203.26
150346720,272.5111644853,12.96596536206,4496973321771194496,15.602,14.889,5864.0,4.3751,,1.107,1.06,"DWARF",996.121
150346824,272.56472407974,13.0238932874,4496975452074980352,15.476,14.975,5814.0,4.1251,,1.469,1.05,"DWARF",1349.7
150404939,272.63187875493,13.0766563083,4496976104910005888,14.019,13.279,5813.6,3.932,0.401,1.835,1.05,"DWARF",793.766
150404951,272.63396449818,13.06765771438,4496976036190523904,15.19,14.465,5873.0,4.4171,,1.055,1.06,"DWARF",789.538
150489617,272.8614768265,13.00947632894,4496976826464648192,15.186,14.414,5746.0,4.4504,,1.001,1.03,"DWARF",683.004
150408712,272.7768193836,12.98811872973,4496977273141008256,13.966,13.406,5893.0,4.3038,,1.207,1.07,"DWARF",569.349
150489501,272.85798412697,13.07816720565,4496979575243735680,15.209,14.494,5744.0,4.2785,,1.22,1.03,"DWARF",875.461
150408844,272.73493930333,13.0605050488,4496980777834372992,15.185,14.45,5771.0,4.4751,,0.973,1.03,"DWARF",708.407
150408898,272.77000534982,13.09553848077,4496981327590419328,15.143,14.379,5755.0,3.8862,,1.916,1.03,"DWARF",1243.97
150408950,272.74181814601,13.12392258549,4496982354079884288,14.076,13.41,5877.0,,,,,,526.849
150489278,272.85498385326,13.21002873289,4496984591765574272,15.672,14.891,5724.0,3.9089,,1.857,1.02,"DWARF",1595.0
166273777,273.5644945033,12.77609338569,4496988371334951936,15.353,14.675,5821.0,4.0416,,1.617,1.05,"DWARF",1278.12
166273825,273.53042619183,12.79587249872,4496988646212884864,14.756,14.016,5707.0,3.4418,,3.18,1.02,"DWARF",1797.11
166400036,273.59854333532,12.81796783771,4496988921090771328,15.606,14.914,5822.0,4.2081,,1.335,1.05,"DWARF",1251.77
166273878,273.57342426209,12.81808847582,4496989092889476352,15.023,14.29,5767.0,4.4572,,0.993,1.03,"DWARF",678.085
166270180,273.40504190648,12.73808868186,4496989642645596160,15.714,14.915,5742.0,4.5186,,0.925,1.03,"DWARF",791.6
166270071,273.41266240422,12.79144068061,4496990639078012544,15.791,14.708,5815.0,4.2827,,1.225,1.05,"DWARF",1021.64
166270076,273.41906109919,12.78845667478,4496990639078011520,15.254,14.968,5856.0,3.8533,,2.019,1.06,"DWARF",1809.92
166273890,273.45885351815,12.82416298444,4496991188833822592,14.625,13.942,5836.0,3.9099,,1.882,1.05,"DWARF",1091.35
166273951,273.56511872874,12.8519994407,4496992219625689344,15.333,14.571,5896.0,4.3658,,1.124,1.07,"DWARF",898.284
166404057,273.78804412391,12.88828392146,4496995999196828032,,14.314,5877.0,4.4469,,1.019,1.06,"DWARF",745.451
166404109,273.80016703741,12.9108113953,4496996205355264384,15.626,14.972,5716.0,4.181,,1.358,1.02,"DWARF",1149.97
166404167,273.75480834084,12.92995630677,4496997197485088256,15.578,14.684,5775.0,4.2237,,1.299,1.03,"DWARF",1044.17
166399727,273.6304390046,12.95283022177,4496999091573390592,15.158,14.3,5737.0,4.3594,,1.106,1.02,"DWARF",770.967
166399699,273.61336052627,12.96360099251,4496999847487652736,15.208,14.427,5751.0,4.3029,,1.186,1.03,"DWARF",850.722
166404322,273.71756384971,12.99960894233,4497000981358984320,15.356,14.6,5868.0,4.2823,,1.232,1.06,"DWARF",1002.97
166399468,273.67230908043,13.07618495278,4497002493187542528,14.912,14.215,5899.0,4.3349,,1.165,1.07,"DWARF",776.266
166136876,273.30998697137,12.88743270009,4497004108095477760,15.837,14.936,5840.0,4.0497,,1.602,1.05,"DWARF",1460.99
166136838,273.24705608422,12.87479125262,4497006959953773184,13.932,13.176,5823.0,4.2288,,1.304,1.05,"DWARF",559.13
166136889,273.2515642657,12.89213168315,4497007063032989440,15.078,14.304,5788.0,4.009,,1.671,1.04,"DWARF",1149.99
166137100,273.25826532813,12.97504545814,4497008815379657600,16.004,14.751,5725.0,4.5026,,0.938,1.02,"DWARF",762.79
166137227,273.29098617834,13.03725226941,4497010735222343168,15.517,14.843,5760.0,4.08,,1.533,1.03,"DWARF",1226.89
166269615,273.44572766192,13.009543827,4497012732389649920,15.724,14.838,5717.0,4.3592,,1.106,1.02,"DWARF",980.201
166399481,273.64558802168,13.07251884544,4497014106779288704,15.277,14.505,5757.0,3.8757,,1.939,1.03,"DWARF",1359.99
166269497,273.41242705012,13.05683506418,4497016065284311936,14.378,13.657,5888.0,4.2715,,1.253,1.07,"DWARF",682.707
166274613,273.490472287,13.1462920589,4497018333027058304,15.174,14.437,5838.0,3.8246,,2.077,1.05,"DWARF",1500.53
166274748,273.53749885886,13.21059983833,4497019844855560064,14.635,13.941,5864.0,4.2126,,1.335,1.06,"DWARF",828.358
166462584,273.90632285982,13.00628652381,4497020806928506880,,13.507,5754.0,4.3036,,1.184,1.029,"DWARF",568.243
166462547,273.83789843853,13.02314863001,4497021459763571968,15.478,14.876,5897.0,4.1363,,1.464,1.07,"DWARF",1317.82
166462523,273.86856084168,13.03365943277,4497021803360948224,15.545,14.803,5840.0,4.5003,,0.954,1.05,"DWARF",851.326
406885087,273.9629285098,13.12436471853,4497024105463423872,15.377,14.652,5700.0,3.9891,,1.694,1.02,"DWARF",1267.13
406885073,273.99449705984,13.13049471163,4497024174182892032,14.012,13.294,5719.0,4.5606,,0.877,1.02,"DWARF",379.979
406885059,273.9860639513,13.14115088219,4497024242902376576,14.366,13.685,5893.0,4.1469,,1.446,1.07,"DWARF",775.712
166404477,273.76391921197,13.07811026454,4497025033176418816,15.12,13.858,5734.0,4.4905,,0.951,1.02,"DWARF",493.55
406885131,274.05280108109,13.10410905098,4497028950186489856,15.158,14.411,5767.0,4.2153,,1.312,1.03,"DWARF",940.748
335383857,274.07404664571,13.19833941345,4497029980978982016,14.02,13.342,5802.0,3.919,,1.854,1.04,"DWARF",834.28
406884979,274.04024222335,13.17771957071,4497030599453969920,14.925,14.216,5852.0,4.2407,,1.292,1.06,"DWARF",866.841
406884855,274.03824234961,13.23734894397,4497031114850370432,15.576,14.896,5871.0,4.306,,1.199,1.06,"DWARF",1103.24
406884825,274.06305543581,13.25024117313,4497032626678960896,15.605,14.97,5744.0,4.1793,,1.367,1.03,"DWARF",1197.41
335384096,274.1628756224,13.29288259565,4497032970276225536,14.854,14.259,5896.0,4.3719,,1.116,1.07,"DWARF",840.595
166462140,273.91303451441,13.22090351233,4497034447744740864,14.857,14.077,5891.0,4.0444,,1.628,1.07,"DWARF",1045.11
166462011,273.91995063618,13.28762051555,4497035341097973376,14.119,13.387,5837.0,4.0362,,1.628,1.05,"DWARF",775.94
406884764,274.02021180415,13.27511520112,4497035822134542208,13.431,13.842,5719.0,4.1653,,1.383,1.02,"DWARF",736.954
406884541,274.03248178371,13.37502820448,4497037677560436864,14.868,14.247,5861.0,4.2408,,1.292,1.06,"DWARF",866.753
166398809,273.67136908581,13.38177190883,4497046473653378432,13.788,13.063,5879.0,4.015,,1.684,1.07,"DWARF",690.49
166462020,273.89859023021,13.28400660866,4497046714171380096,13.884,13.168,5766.0,4.2209,,1.305,1.033,"DWARF",535.839
166461926,273.82597599928,13.32436581287,4497047848043018240,15.675,14.814,5832.0,4.1965,,1.353,1.05,"DWARF",1231.67
166461897,273.87197951953,13.33856894721,4497048191640173696,15.232,14.447,5835.0,4.1921,,1.36,1.05,"DWARF",1024.22
406884595,273.94401733146,13.34877797806,4497048810115677696,14.309,13.571,5725.0,4.4205,,1.032,1.022,"DWARF",516.191
406884482,274.00379635622,13.40080371394,4497049497310445568,15.679,14.834,5817.0,4.1359,,1.451,1.05,"DWARF",1307.6
166461702,273.83374948209,13.43789994479,4497053483039958016,14.883,14.136,5787.0,4.3376,,1.145,1.04,"DWARF",732.815
166461662,273.90248015407,13.46268738838,4497053757918032512,15.784,14.957,5819.0,3.8307,,2.062,1.05,"DWARF",1937.58
166137125,273.2122387722,12.98767924047,4497055888222331776,15.449,14.654,5786.0,4.0385,,1.616,1.04,"DWARF",1288.25
166137297,273.2444594857,13.0728391339,4497058018526114560,14.959,14.253,5811.0,4.3907,,1.077,1.04,"DWARF",738.255
166132311,273.18083866389,13.1079483126,4497059014958547328,15.479,14.324,5770.0,4.5436,,0.899,1.03,"DWARF",655.372
166137485,273.25731498738,13.15266235028,4497059633433544192,15.562,14.69,5726.0,4.3249,,1.151,1.02,"DWARF",938.134
150493429,273.00509780531,13.1008582496,4497061213981856128,14.768,14.056,5744.0,4.2096,,1.32,1.03,"DWARF",807.763
166132186,273.19168797168,13.16618627834,4497062760169776256,,14.478,5713.0,4.347,,1.122,1.02,"DWARF",847.895
166132141,273.1896317359,13.19021875241,4497062966328218240,14.618,13.828,5729.0,3.3314,,3.611,1.02,"DWARF",1948.61
166269196,273.33402332339,13.19552703756,4497065852546176256,15.088,14.255,5853.0,4.3673,,1.117,1.06,"DWARF",826.227
166137598,273.31245767663,13.20352324147,4497066058704621568,15.147,14.358,5715.0,4.3633,,1.101,1.02,"DWARF",771.698
