TIC,RAJ2000,DEJ2000,GAIA,Bmag,Vmag,Teff,logg,[M/H],Rad,Mass,LClass,Dist
355854112,286.07781123369,15.3891653626,4512908573848767616,17.925,18.091,5789.0,3.9237,,1.844,1.04,"DWARF",3859.1
355854100,286.0684491574,15.38984737128,4512908573848777088,,18.649,5759.0,4.218,,1.308,1.03,"DWARF",3642.71
1805878060,286.09688888511,15.38202174749,4512908539488978176,,19.528,5782.0,4.4795,,0.972,1.04,"DWARF",4237.47
1805878089,286.09371858655,15.38630222753,4512908543790296064,,19.973,5822.0,4.5563,,0.894,1.05,"DWARF",4721.25
1805878068,286.09475370824,15.38971625332,4512908539489030272,,19.374,5763.0,4.2309,,1.288,1.03,"DWARF",4485.98
356264030,286.11754084124,15.38938941898,4512908711287730432,,18.487,5767.0,3.837,,2.027,1.03,"DWARF",5151.6
1805878539,286.14692490543,15.40142386016,4512908784308668288,,19.865,5832.0,4.7681,,0.701,1.05,"DWARF",3869.1
1805878720,286.1516585988,15.40720080551,4512908883086532352,,19.122,5863.0,4.489,,0.971,1.06,"DWARF",3861.46
1805878741,286.14706915715,15.41267009242,4512908887387889536,,19.278,5824.0,4.0853,,1.538,1.05,"DWARF",5248.87
1805878594,286.15746267193,15.39755522986,4512908818668399744,,18.417,5807.0,3.6331,,2.576,1.04,"DWARF",6244.62
1805878645,286.1443436904,15.40642589061,4512908848726804608,,18.865,5784.0,3.8944,,1.907,1.04,"DWARF",5659.33
356264113,286.13978282228,15.40172330532,4512908853028152192,18.919,18.665,5795.0,3.9651,,1.758,1.04,"DWARF",4914.31
355854002,286.10040276854,15.39578092814,4512908921789850368,19.232,18.163,5767.0,3.8168,,2.075,1.03,"DWARF",4252.51
1805878797,286.10380779516,15.39629392936,4512908921747412224,,19.097,5819.0,4.0612,,1.581,1.05,"DWARF",4848.13
1805878975,286.1041978321,15.40933089479,4512909024826641408,,19.74,5811.0,4.2694,,1.238,1.04,"DWARF",5053.71
1805878790,286.11567041422,15.39431514863,4512908921747389184,,18.972,5730.0,4.2,,1.328,1.02,"DWARF",4349.5
1805879095,286.14388993635,15.42057149713,4512909089245047040,,19.439,5894.0,4.1823,,1.389,1.07,"DWARF",5262.69
1805879156,286.10896245483,15.42237465463,4512909123604796032,,19.674,5804.0,4.3988,,1.067,1.04,"DWARF",4395.24
1805879325,286.05098620231,15.3850548152,4512909226683766528,,19.792,5826.0,4.4855,,0.97,1.05,"DWARF",4283.03
1805879346,286.04558650549,15.38640938947,4512909230984209536,,18.797,5859.0,3.9109,,1.889,1.06,"DWARF",4963.38
1805879405,286.02658974069,15.38710403696,4512909265344005888,,19.702,5869.0,4.2109,,1.337,1.06,"DWARF",5224.72
355854040,286.03704677586,15.39305240404,4512909295403298560,,19.006,5855.0,3.933,,1.842,1.06,"DWARF",5199.09
1805879562,286.07691553013,15.39897657389,4512909368424058752,,19.148,5746.0,4.084,,1.526,1.03,"DWARF",4673.03
1805879660,286.06365571266,15.41695744496,4512909432842408448,,19.624,5788.0,4.3907,,1.077,1.04,"DWARF",4335.76
1805879681,286.0583234587,15.412126191,4512909437143571712,,19.458,5875.0,4.0815,,1.552,1.06,"DWARF",5547.97
355853649,286.01676629949,15.41914291113,4512909570281380096,,18.859,5857.0,3.6703,,2.492,1.06,"DWARF",5800.58
1805879983,286.05747911549,15.42053593661,4512909643302007680,,19.129,5842.0,4.291,,1.214,1.05,"DWARF",4067.36
1805880104,286.04883481465,15.43203680483,4512909712021504640,,18.818,5766.0,4.1239,,1.457,1.03,"DWARF",3679.88
1805880177,286.07603932563,15.41508923678,4512909746381194112,,19.621,5727.0,4.4577,,0.987,1.02,"DWARF",3976.67
356264393,286.10904813326,15.43682251888,4512909879519140992,19.937,18.953,5705.0,4.0192,,1.636,1.02,"DWARF",4542.55
356264439,286.10821560867,15.4421834598,4512909918222327168,19.753,18.869,5774.0,4.1341,,1.44,1.03,"DWARF",4130.65
1805880399,286.1067506312,15.42735931123,4512909883820367488,,19.813,5800.0,4.8255,,0.653,1.04,"DWARF",3350.18
355853107,286.05537343136,15.45533898561,4512910120046761344,16.544,19.072,5830.0,3.8733,,1.963,1.05,"DWARF",5080.9
355853192,286.07392765014,15.44924546259,4512910051317909376,,18.501,5888.0,3.59,,2.746,1.07,"DWARF",5492.12
1805880865,286.07995902208,15.45548334615,4512910158698338432,,19.906,5756.0,4.5052,,0.939,1.03,"DWARF",3977.91
355852892,286.08969029527,15.4718629857,4512910257476481920,20.029,18.792,5719.0,3.6266,,2.571,1.02,"DWARF",5448.94
1805881593,285.87675877975,15.37084108697,4512910639733908608,,19.775,5799.0,4.724,,0.734,1.04,"DWARF",3289.32
1805881635,285.88987089919,15.3797536182,4512910669810681856,,19.348,5795.0,4.2772,,1.227,1.04,"DWARF",3920.93
355593637,285.8968050573,15.35593500265,4512910571057164160,19.482,18.282,5786.0,4.226,,1.302,1.04,"DWARF",3127.54
1805881787,285.9000549205,15.38107485305,4512910772889897216,,19.625,5734.0,4.2034,,1.323,1.02,"DWARF",4488.62
355593898,285.9030688477,15.39022752942,4512910807231769600,20.024,18.629,5765.0,4.0365,,1.611,1.03,"DWARF",3674.89
1805881924,285.95451780847,15.36810297192,4512910845892101760,,19.892,5833.0,4.337,,1.151,1.05,"DWARF",4673.49
1805881971,285.94727705807,15.37851898006,4512910845935058432,,19.823,5710.0,4.1604,,1.39,1.02,"DWARF",5020.06
1805882079,285.95449393426,15.39253887945,4512910944670734208,,19.64,5747.0,4.4332,,1.021,1.03,"DWARF",3848.99
355593903,285.95185822463,15.39074715131,4512910949014282752,19.561,18.495,5732.0,3.8743,,1.933,1.02,"DWARF",4133.9
1805882229,285.98036375773,15.40154666867,4512911017733748608,,19.338,5893.0,4.4298,,1.044,1.07,"DWARF",3724.42
355594116,285.97148535135,15.41799312948,4512911082109857280,,18.593,5781.0,3.8411,,2.028,1.04,"DWARF",4478.62
355594078,285.97049916631,15.41393458634,4512911086453243520,,19.269,5875.0,4.2409,,1.292,1.06,"DWARF",4178.12
1805882327,285.93683758116,15.39275334563,4512911120770162432,,19.999,5799.0,4.6711,,0.78,1.04,"DWARF",3475.06
1805882476,285.92235306521,15.3973710527,4512911189532472576,,19.597,5858.0,4.8641,,0.63,1.06,"DWARF",2652.81
355593934,285.92754935626,15.39398072098,4512911116469459072,20.046,18.969,5812.0,4.0352,,1.629,1.05,"DWARF",4297.26
355594045,285.92119004007,15.40942480608,4512911189532485376,20.001,18.805,5828.0,3.8803,,1.947,1.05,"DWARF",4701.85
1805882646,285.93370231746,15.42166715429,4512911326928715008,,19.717,5848.0,4.1832,,1.381,1.06,"DWARF",5014.87
355593878,285.85233085108,15.38703627988,4512911460066779136,19.66,18.845,5769.0,3.975,,1.73,1.03,"DWARF",4366.2
355593894,285.87338427943,15.38967843372,4512911430050670080,,19.438,5762.0,3.8158,,2.078,1.03,"DWARF",6046.54
1805883014,285.88887835412,15.39862797103,4512911533129883008,,19.723,5727.0,4.7105,,0.738,1.02,"DWARF",2962.54
1805883301,285.84341845231,15.41704022719,4512911769307565056,,19.616,5737.0,3.9759,,1.719,1.02,"DWARF",4583.76
355180141,285.82986118669,15.40651248797,4512911739288361088,19.762,18.392,5743.0,3.6734,,2.448,1.03,"DWARF",3959.3
355180089,285.85114237609,15.4134677482,4512911769304606848,,19.559,5823.0,4.2995,,1.202,1.05,"DWARF",3623.18
355594264,285.86663632056,15.43919022489,4512911906743714304,19.671,18.739,5855.0,4.1971,,1.359,1.06,"DWARF",3125.7
355594113,285.89305444727,15.41764325111,4512912009822790912,19.743,18.226,5837.0,3.3386,,3.633,1.05,"DWARF",6127.22
355594074,285.89933854849,15.41393329722,4512911941112887296,20.083,19.493,5815.0,4.3872,,1.086,1.05,"DWARF",3757.09
1805883928,285.926310997,15.45364261307,4512912181621718784,,19.386,5726.0,4.5835,,0.854,1.02,"DWARF",3013.5
1805884089,285.88290425548,15.4431300603,4512912289001967488,,19.778,5790.0,4.1251,,1.462,1.04,"DWARF",4899.76
1805884251,285.92460171805,15.46522002154,4512912392123379968,,19.947,5864.0,,,,,"DWARF",1951.26
1805884319,285.9050269566,15.47704308905,4512912460800376960,,19.375,5884.0,3.9608,,1.792,1.07,"DWARF",5155.85
1805884174,285.9019819422,15.45164656748,4512912357721086592,,19.971,5709.0,4.3957,,1.06,1.02,"DWARF",4027.42
1805884512,285.9965867955,15.43539325556,4512912593938455680,,19.358,5868.0,4.7927,,0.684,1.06,"DWARF",2587.52
1805884433,286.00787277568,15.4265291858,4512912529519374336,,19.621,5779.0,4.128,,1.457,1.04,"DWARF",4974.27
1805884511,286.00323423848,15.43226705671,4512912593938434560,,19.932,5790.0,4.5931,,0.853,1.04,"DWARF",3647.43
1805884737,286.01925738548,15.45372470284,4512912735678521600,,19.376,5785.0,3.9877,,1.713,1.04,"DWARF",5157.6
355853326,286.02395098147,15.44044081934,4512912667001364224,19.965,18.689,5740.0,3.5929,,2.685,1.03,"DWARF",5575.83
1805884617,286.0309468345,15.44131876673,4512912662657972736,,18.94,5866.0,4.1396,,1.452,1.06,"DWARF",3982.61
1805884779,285.97476076757,15.42563446487,4512912770037627904,,19.729,5847.0,4.324,,1.174,1.06,"DWARF",4496.11
1805884832,285.98678596861,15.44501439567,4512912800106351104,,18.69,5775.0,3.5527,,2.813,1.03,"DWARF",6043.49
1805884831,285.9797146915,15.44428106533,4512912800096945920,,19.863,5712.0,4.2724,,1.222,1.02,"DWARF",4616.42
1805885175,285.99651747138,15.47843564633,4512913010556450304,,19.999,5714.0,4.2683,,1.228,1.02,"DWARF",4537.52
355852925,286.00818917317,15.46954421774,4512912937536062336,,19.085,5816.0,3.7124,,2.363,1.05,"DWARF",5932.06
1805885524,286.04735020466,15.48230517677,4512913246773783552,,19.552,5848.0,4.2364,,1.299,1.06,"DWARF",4571.46
1805885518,286.0643867714,15.48113053183,4512913216757228032,,19.913,5736.0,4.4754,,0.967,1.02,"DWARF",4044.15
355852914,286.06126331693,15.47013078983,4512913178054254720,19.718,18.263,5718.0,3.6966,,2.371,1.02,"DWARF",4406.1
1805885775,286.01822966744,15.49814002558,4512913418572577792,,19.668,5725.0,4.332,,1.141,1.02,"DWARF",3849.91
1805885675,286.02826559761,15.48320190291,4512913349853011200,,19.238,5778.0,3.9573,,1.774,1.04,"DWARF",5047.79
1805885726,286.0063636714,15.48491972374,4512913384212782464,,19.509,5850.0,4.4046,,1.07,1.06,"DWARF",3663.24
355852756,286.00466339617,15.48233640094,4512913388555937920,19.855,18.336,5754.0,3.9092,,1.866,1.03,"DWARF",3597.91
355852595,286.05228417455,15.49319309676,4512913487292025088,,18.691,5725.0,4.1276,,1.444,1.02,"DWARF",3627.81
355852558,286.027025977,15.49481578395,4512913525994887808,20.103,18.328,5777.0,3.6962,,2.396,1.04,"DWARF",4302.52
355852496,286.05498250902,15.4998024189,4512913487292068864,19.908,19.069,5768.0,3.5583,,2.795,1.03,"DWARF",6455.8
1805886200,285.9474202488,15.47383606573,4512913697750840064,,19.495,5887.0,4.0912,,1.542,1.07,"DWARF",5329.08
1805886003,285.94965794978,15.44818643484,4512913590370950912,,19.723,5874.0,4.9452,,0.574,1.06,"DWARF",2681.99
1805886060,285.95769563964,15.45789946895,4512913624730754304,,19.153,5805.0,4.4377,,1.02,1.04,"DWARF",3273.55
1805886110,285.94198801912,15.45505946255,4512913659090475008,,19.75,5794.0,4.8886,,0.607,1.04,"DWARF",2696.94
1805886118,285.94054247766,15.45587415873,4512913663391049600,,19.634,5837.0,4.72,,0.741,1.05,"DWARF",3065.07
1805886170,285.94851044625,15.47105304661,4512913693450311424,,19.846,5793.0,4.2469,,1.271,1.04,"DWARF",5096.1
1805886138,285.93594290177,15.46181891272,4512913663391085056,,19.934,5749.0,4.8669,,0.619,1.03,"DWARF",2881.79
1805886172,285.95259193856,15.4800132348,4512913693450379008,,19.239,5751.0,3.8857,,1.917,1.03,"DWARF",5452.7
355594446,285.94091185654,15.46570603588,4512913659090539648,19.294,18.044,5714.0,3.5988,,2.654,1.02,"DWARF",4554.09
355594627,285.96620190647,15.48840717431,4512913830889381504,19.615,18.431,5819.0,3.3896,,3.426,1.05,"DWARF",6286.68
1805886623,285.93226094838,15.49399432166,4512913972628859520,,19.792,5788.0,4.4402,,1.017,1.04,"DWARF",4139.7
355594488,285.92326789554,15.47053581655,4512913869592136704,19.57,18.995,5763.0,3.8389,,2.023,1.03,"DWARF",5281.72
355594449,285.93097325003,15.46638551239,4512913869592126848,19.632,18.172,5710.0,4.1418,,1.421,1.02,"DWARF",2883.72
1805886787,285.947316408,15.50610279142,4512914105767394048,,19.722,5778.0,4.5025,,0.947,1.04,"DWARF",3769.95
355594630,285.95080394822,15.48929146817,4512914002697191936,16.425,18.754,5900.0,3.9211,,1.876,1.07,"DWARF",4837.31
1805886879,286.00550334999,15.49243860479,4512914144470183296,,19.957,5796.0,4.4993,,0.95,1.04,"DWARF",3810.41
355852327,285.99114489468,15.51284181266,4512914247549406208,20.173,18.832,5833.0,3.7621,,2.231,1.05,"DWARF",4930.82
355594637,285.9885266849,15.48973940364,4512914140127030016,,19.443,5705.0,4.0101,,1.653,1.02,"DWARF",4659.13
1805887136,286.02528121896,15.52043236443,4512914316268874112,,19.448,5795.0,4.0927,,1.518,1.04,"DWARF",4527.36
1805887205,286.02759756465,15.53001577164,4512914384946295808,,19.126,5891.0,4.11,,1.509,1.07,"DWARF",4297.06
1805887147,286.00890332722,15.51348697259,4512914350586574208,,19.712,5712.0,4.1982,,1.331,1.02,"DWARF",4366.54
